Peak	State	ht	coord
Cuyahoga Peak	Michigan	485	46° 48' 49'' N, 89° 42' 47'' W
Scafell Pike	England	978	54°27′15″N 3°12′42″W
Carrauntoohil	Ireland	1039	51°59′58″N 9°44′34″W
Ben Nevis	Scotland	1345	56°47′49″N 5°00′13″W
Snowdon	Wales	1084.74	53°4′6.59″N 4°4′34.43″W
Càrn Eige	Scotland	1183	57° 17′ 15.57″ N, 5° 6′ 57.88″ W
Ben Macdui	Scotland	1309	57° 4′ 11.96″ N, 3° 40′ 8.63″ W
Ben Lawers	Scotland	1214	56°32′44″N 4°13′15″W
Empire Bluffs	Michigan	340	44° 47' 59'' N, 86° 4' 17'' W
Briar Hill	Michigan	519	44° 21' 58'' N, 85° 40' 46'' W
Matterhorn	Switzerland	4478	45°58′35″N 7°39′31″E
Huron Mountain	Michigan	460	46° 52' 42'' N, 87° 55' 18'' W
Mount Bohemia	Michigan	447	47° 23' 30'' N, 88° 0' 49'' W
Cadillac Mountain	Maine	466	44° 21' 5'' N, 68° 13' 36'' W
Moose Mountain	Minnesota	515	47° 39' 4'' N, 90° 44' 6'' W
Devil's Lake West Bluff	Wisconsin	447	43° 25' 13'' N, 89° 44' 19'' W
Mount Le Conte	Tennessee	2010	35° 39' 15'' N, 83° 26' 12'' W
Mount Shuksan	Washington	2781	48° 49' 53'' N, 121° 36' 10'' W
Cape Final	Arizona	2413	36° 8' 32'' N, 111° 54' 29'' W
Mount Cleveland	Montana	3190	48° 55' 30'' N, 113° 50' 53'' W
Monte Rosa	Switzerland	4633	45° 56' 13'' N, 7° 52' 0'' E
Frozen Head	Tennessee	1013	36° 7' 21'' N, 84° 27' 28'' W
Cross Mountain	Tennessee	1077	36° 11' 54'' N, 84° 13' 50'' W
Kwagama Hill	Ontario	642	47° 24' 53'' N, 84° 33' 32'' W 
Pie Island High Point	Ontario	455	48° 14' 7'' N, 89° 9' 39'' W
Sleeping Giant	Ontario	563	48° 21' 3'' N, 88° 53' 51'' W 
Silver Peak	Ontario	539	46° 6' 40'' N, 81° 17' 22'' W
Peak 489	Ontario	489	46° 4' N, 81° 23' W
Ishpatina Ridge	Ontario	693	47° 19' 1'' N, 80° 44' 56'' W 
Mont Raoul-Blanchard	Québec	1175	47° 18' 34'' N, 70° 49' 56'' W
Mont Jacques-Cartier	Québec	1276	48° 59' 14'' N, 65° 56' 53'' W
Mont Tremblant	Québec	932	46° 14' 56'' N, 74° 33' 34'' W 
Großglockner	Austria	3797	47° 4' 28'' N, 12° 41' 38'' E
Rysy	Poland	2501	49°10′46″N 20°5′17″E
Mount Kosciuszko	Australia	2228	36° 27' 22'' S, 148° 15' 48'' E
Mount Ruapehu	New Zealand	2797	39° 17' 22'' S, 175° 33' 45'' E 
